epochs,loss,seed,model_type,training_time
1,1.3964797258377075,1,Diffusion,2.8710877895355225
2,1.3400231003761292,1,Diffusion,2.4320123195648193
3,1.296958863735199,1,Diffusion,2.4529404640197754
4,1.354831576347351,1,Diffusion,2.4537353515625
5,1.4257360696792603,1,Diffusion,2.436039447784424
6,1.3473363518714905,1,Diffusion,2.4356529712677
7,1.3198066353797913,1,Diffusion,2.482430934906006
8,1.2158488035202026,1,Diffusion,2.4428980350494385
9,1.2878820300102234,1,Diffusion,2.397857427597046
10,1.2091732025146484,1,Diffusion,2.403980016708374
11,1.3761079907417297,1,Diffusion,2.425375461578369
12,1.202276587486267,1,Diffusion,2.3654747009277344
13,1.2581428289413452,1,Diffusion,2.4239094257354736
14,1.2796401977539062,1,Diffusion,2.4453158378601074
15,1.4585526585578918,1,Diffusion,2.4017887115478516
16,1.1657316088676453,1,Diffusion,2.4321625232696533
17,1.3614962697029114,1,Diffusion,2.461980104446411
18,1.2191420793533325,1,Diffusion,2.418524742126465
19,1.2096984386444092,1,Diffusion,2.427271842956543
20,1.2761947512626648,1,Diffusion,2.4532101154327393
21,1.2208122611045837,1,Diffusion,2.455632448196411
22,1.4359613060951233,1,Diffusion,2.493941307067871
23,1.180597186088562,1,Diffusion,2.4233458042144775
24,1.2283891439437866,1,Diffusion,2.4474399089813232
25,1.222387433052063,1,Diffusion,2.4504878520965576
26,1.2743538618087769,1,Diffusion,2.3544418811798096
27,1.1451870203018188,1,Diffusion,2.4507594108581543
28,1.6242159605026245,1,Diffusion,2.4182932376861572
29,1.230850875377655,1,Diffusion,2.392714023590088
30,1.1946750283241272,1,Diffusion,2.430209159851074
31,1.258964717388153,1,Diffusion,2.455190658569336
32,1.169870913028717,1,Diffusion,2.4644837379455566
33,1.1026837229728699,1,Diffusion,2.444499969482422
34,1.1331647038459778,1,Diffusion,2.4223315715789795
35,1.2196458578109741,1,Diffusion,2.4195852279663086
36,1.2089291214942932,1,Diffusion,2.3848154544830322
37,1.0803585648536682,1,Diffusion,2.457953691482544
38,1.1923831701278687,1,Diffusion,2.425814390182495
39,1.1825843453407288,1,Diffusion,2.3771512508392334
40,1.1655945181846619,1,Diffusion,2.5971827507019043
41,1.201198935508728,1,Diffusion,2.3717801570892334
42,1.0910284519195557,1,Diffusion,2.3671255111694336
43,1.10355806350708,1,Diffusion,2.450673818588257
44,1.1966369152069092,1,Diffusion,2.4725289344787598
45,1.260827124118805,1,Diffusion,2.4660391807556152
46,1.126939833164215,1,Diffusion,2.3619730472564697
47,1.153707206249237,1,Diffusion,2.434741735458374
48,1.104481816291809,1,Diffusion,2.4275565147399902
49,1.1032003164291382,1,Diffusion,2.3840839862823486
50,1.1220778226852417,1,Diffusion,2.4077301025390625
51,1.1021483540534973,1,Diffusion,2.3991289138793945
52,1.1125236749649048,1,Diffusion,2.3542709350585938
53,1.0934894680976868,1,Diffusion,2.4385299682617188
54,1.0926471948623657,1,Diffusion,2.428328514099121
55,1.1669915318489075,1,Diffusion,2.472160577774048
56,1.0501869916915894,1,Diffusion,2.4086132049560547
57,1.0602163672447205,1,Diffusion,2.4802393913269043
58,1.2416551113128662,1,Diffusion,2.3515350818634033
59,1.0686742663383484,1,Diffusion,2.4070420265197754
60,1.2014271020889282,1,Diffusion,2.4699513912200928
61,1.1007939577102661,1,Diffusion,2.4088058471679688
62,1.0937066078186035,1,Diffusion,2.388054370880127
63,0.9938757419586182,1,Diffusion,2.4314537048339844
64,1.1674217581748962,1,Diffusion,2.4190621376037598
65,1.0676470696926117,1,Diffusion,2.4468417167663574
66,1.047519564628601,1,Diffusion,2.481825351715088
67,1.0710830688476562,1,Diffusion,2.484503984451294
68,1.2097865343093872,1,Diffusion,2.444974899291992
69,1.0639493465423584,1,Diffusion,2.4777133464813232
70,1.1700480282306671,1,Diffusion,2.4316318035125732
71,1.0143380761146545,1,Diffusion,2.42840313911438
72,0.9952603876590729,1,Diffusion,2.433568239212036
73,0.9856765866279602,1,Diffusion,2.413177967071533
74,1.0817714929580688,1,Diffusion,2.404071092605591
75,1.0304771661758423,1,Diffusion,2.4444074630737305
76,0.9886076748371124,1,Diffusion,2.398242473602295
77,0.9412062466144562,1,Diffusion,2.359041929244995
78,0.9392496943473816,1,Diffusion,2.4304704666137695
79,0.971327930688858,1,Diffusion,2.409515619277954
80,0.9869924485683441,1,Diffusion,2.3927273750305176
81,0.9692076742649078,1,Diffusion,2.345282554626465
82,1.0727508664131165,1,Diffusion,2.439157247543335
83,0.9372772574424744,1,Diffusion,2.421067237854004
84,0.9401073753833771,1,Diffusion,2.395432233810425
85,0.9453995525836945,1,Diffusion,2.3845436573028564
